Id,Text,Category
16,"Internet of Things (IoT) platform Cavli Wireless, in partnership with Kerala-based Maker’s Village, is looking to set up India’s first 5G network testing lab to allow Indian startups and companies to test their products and solutions.The platform is likely to be launched in the third quarter of 2020, ending September. Cavli Wireless has assured that the access to the 5G test network will be free of charge for Indian IoT startups, who are looking to develop solutions compliant with the global standards.The company also added that it will provide six-month access to its global IoT connectivity platform. The platform will enable users to power local machine to machine (M2M) data connectivity for their solutions globally. This will be supported by Cavli’s data partnerships with telecom operators across the globe.John Mathew, chief technology architect at Cavli Wireless, believes that this lab will inspire several startups and companies to test their IoT products and prototypes for the latest 5G technology standards. The tests will be available with 5G SA and NSA modes, which support sub 6 Ghz bands, along with LTE NB-IOT and CAT-M for LPWAN side of the IoT.Besides this, Cavli Wireless will also allow users to test their products with C200-Series 5G IoT cellular modules/modems and the C1X, C3X, C4X series cellular IoT modules and modems, which are scheduled to be launched later this year.",iot
17,"UL, a leading global safety science company, has expanded its Bengaluru facility to help product innovators address compliance and market access challenges in the fast-growing and increasingly complex world of connected devices. The new facility added 12,000-square feet of laboratory space with scope for further expansion, making it one of the most technologically advanced electromagnetic compatibility (EMC), specific absorption rate (SAR), wireless and interoperability testing laboratories in India. The facility, accredited by the National Accreditation Board for Testing and Calibration Laboratories (NABL), enables UL to service a diverse range of products for customers across consumer electronics, information technology, mobile and telecommunications, medical devices, industrial products, lighting and appliances industries.The three key challenges manufacturers and product design companies encounter are efficient global market access, finding EMC and wireless expertise and speed-to-market for product launches. The new UL facility offers automated data collection, custom-designed test chambers and fast access to technical experts across a multitude of disciplines. The presence of a semi-anechoic chamber provides local product design engineers and developers with a convenient nearby testing facility. Further, the UL IoT Center of Excellence offers global experience and UL experts advise to companies at every step of the product launch process, from designing to preparing for market access, to help ensure compliance to regulations before and during production.“India is a top priority market for UL. The Bengaluru laboratory expansion combined with UL’s existing global network of laboratories and engineering talent­­ - offers our customers in India a seamless end-to-end service solution with unparalleled technical expertise, helping them navigate risk and enabling greater speed-to-market for their products and solutions,” said Ghislain Devouge, global vice president and general manager, Consumer Technology, UL.“At UL, we strongly endorse the ‘In India, for India’ strategy, and have been regularly investing in building capability and capacity. This UL IoT Center of Excellence will help the market in multiple ways – first, enabling our domestic customers to develop smarter products, meet regulations and supply to the world; second, assisting our global customers to comply with India regulations and seamlessly access the Indian market; and third, giving confidence to the regulators and players in the ecosystem that they can access best-in-class global knowledge, technical expertise, and seamless service locally,” said Suresh Sugavanam, vice president and managing director of South Asia and Sub-Saharan Africa for UL.",iot
18,"IoT Home appliances or Smart Home appliances has witnessed massive growth and adoption globally in the last 18 months. Even in India, we are witnessing a tremendous increase in consumers onboarding the Smart Home revolution. In the US alone, over 32% homes have penetration of IoT home products and in India, currently, we have an overall penetration of just over 3%.Talking specifically about India, there are enough anecdotes to indicate that the Smart Home and IoT Home appliances market is expanding swiftly:Several brands have already launched IoT and Smart home products in the last one year and multiple categories such as Lighting, Air Conditioners, Air Purifiers, WiFi Cameras etc have been picking up w.r.t meaningful IoT use cases.Google Home and Alexa have been amalgamating the IoT ecosystems by focusing on IoT products that can be controlled via Voice Assistants.There is increased demand among consumers for App and Voice Assistant operated Smart home appliances.With the increased demand and adoption in the market and sensing that Smart Home appliances are the future of consumer durables and electronics, brands are now creating a long term roadmap for IoT in their respective categories",iot
19,"SenRa has released it’s new Ginjer 2.0 IoT analytics platform which will help users to easily and securely manage IoT data and devices at scale. The new Ginjer 2.0 is redefining what’s possible for businesses by accelerating business decision making with powerful reporting tools, real-time data visualization, device management capabilities and user access management features in shorter amount of time at low-cost. Ginjer provides users the ability to get immediate insight on their business operations, cost savings, and overall return on investment (ROI).SenRa, a contributing member of the LoRa Alliance, is a PAN India Low Power Wide Area Network Provider (LPWAN), specifically LoRaWAN, for the Internet of Things (IoT) and Machine to Machine (M2M) solutions and applications. SenRa is currently deploying LPWANs throughout India for projects which require secure, reliable, long distance communication at low cost. SenRa is working with global partners to deploy smart solutions across many IoT segments in India.“We are really excited about the announcement of Ginjer 2.0. Our team has worked really hard to solve core problems companies face when selecting an IoT platform for their projects.” said Ali Hosseini, Chief Executive Officer of SenRa. He says “Companies are looking for IoT platforms to be affordable and still have powerful reporting tools, data visualization capabilities, and device management capabilities. Ginjer does that and more.”The company has been driven by its vision to offer its customers with the best possible solutions and services. With the release of Ginjer 2.0, SenRa is now able to provide customers with true end-to-end IoT solutions while still ensuring a very competitive price.",iot
20,"Qualcomm has been the forerunner of Corporate India’s efforts to transform into a digitally empowered economy. In 2016, Qualcomm initiated the Qualcomm Design in India Program with its first initiative called Qualcomm Design in India Challenge (QDIC), a startup incubation program run in a contest format, that, over its four iterations has played a significant role in this effort by spurring the domestic hardware ecosystem and equipping the domestic startup ecosystem to enhance its design and manufacturing capabilities, especially in IoT. While the incubation program is a key part, the other components that got added in subsequent years include Accelerated Design Program (engagement with its licensed customers) and Qualcomm Innovation Fellowship (engagement with the academic research community). Qualcomm Innovation Lab provides the necessary technical support, tools and test equipment across a range of technologies for all the three initiatives. In 2019, Qualcomm added a “late stage track” to the Qualcomm Design in India Challenge, which allowed mature startups looking to integrate one or more of Qualcomm Technologies to approach Qualcomm to get the required engineering support even when the “contest track” was already underway. This allowed these startups to work with Qualcomm at the right stage of their product development cycle.",iot
21,"The coronavirus pandemic may drive enhancement of automation, digitalisation and artificial intelligence(AI) in the automobile sector in post COVID era in order to improve resilience to future pandemics, industry experts said at ETAuto Roundtable on 'COVID-19 Lockdown: 5 Essential Aspects for the Auto Industry'.The coronavirus can be a wake-up call for supply chain managers and manufacturing companies as plant operation remain suspended amidst 21 days lockdown with an air of uncertainty if it will be lifted post that. The resumption of work may also face difficulties keeping in mind the health of employees and availability of workforce in the massive automobile factories.In a situation like this automation and robotics could reduce dependence on human labour and increase productivity, preventing the chances of future plant shutdowns.Vinod Aggarwal, MD and CEO, VE Commercial Vehicles said, ""All these concepts like IoT, AI and digitalisation will become extremely relevant going forward and are going to define the new way of working. This lockdown provides us an opportunity to adopt these new trends, especially digitalisation.Concepts like IoT, AI and digitalisation will become extremely relevant going forward and are going to define the new way of working.Vinod Aggarwal, MD and CEO, VECVCiting an example from the company's current work regime, Aggarwal pointed, ""We are doing lot of training activities along with our teams of various zones, holding webinars. Earlier we were telling our teams that they should do more reviews on the digital platforms or dealers to focus on digital retail, they were not getting used to it. They preferred to be physically present, talking face to face, but now this lockdown has left no other option but to adapt the digital route.""",iot
22,"Healthsense has received a tremendous response from the market. Companied from both India and abroad are asking them to install the devices in their premises. For many businesses across the globe, Q1 2020 took a new direction once the coronavirus outbreak became a pandemic. Many large corporates are working from home, but those who are in essential services must keep operating in this environment despite the ongoing crisis. Businesses have been trying to find a way to step into the workplace again, but the threat caused of the novel coronavirus is raising concerns about their employees’ safety. Healthsense offers to ensure adherence to safety and compliance at the workplace. The product provides a safety device and a dashboard (including real-time alerts and notifications) where you can monitor all these compliances in one place and act in real-time. With the device, you get the following features, all of which are contactless. 1. Touch-free Attendance 2. Mask Protection compliance 3. Temperature compliance (It sounds an alarm when it detects anyone with high body temperature) 4. Sanitisation compliance The device can work eight hours without power or internet. Employees need to be registered on the Healthsense portal. After that their face can be matched even while they wear masks.",iot
23,"Technology has transformed many industries across the world and changed the way companies act. Mining is one such industry that is maturing over the last few decades on the back of an ever-increasing demand for mined resources on one side, and a need for sustainable mining on the other. The mining industry currently faces a unique set of challenges – improving production and reducing costs while protecting the health and safety of their workers, safeguarding fixed assets and environmental conservation. Miners often put their lives at risk, travelling deep underground in dangerous conditions to bring these precious elements to the surface.The mining industry’s contribution (excluding petroleum and natural gas) to India’s GDP is only around 2-3% in 2018-19, a sharp contrast to India’s true potential, being a geologically rich country. A significantly higher contribution to GDP will go a long way in achieving India’s dream of becoming a USD 5 trillion economy, as evinced across economies like South Africa where mining contributed 7.5% to GDP, and Australia where it is 6.99% to GDP.Automation and Digitalisation are touted to be the most defining mining industry trends of the 21st century across the globe, aimed at enhancing productivity and addressing the challenges faced by the mining industry.Innovations in artificial intelligence (AI), machine learning and the industrial internet of things (IoT) all have the potential to save the sector an estimated $373 billion and hundreds of lives by 2025 by automating machinery operation, planning and scheduling, facilitating predictive maintenance, improving man, material and asset traceability, harnessing the power of real-time data and analytics, and providing visibility across the mine-to-market value chain. People, process, and technology are the drivers of change and the key to the transformation and future success of the mining industry.",iot
24,"Chinese smartphone maker Xiaomi on Friday said is aims to manufacture its Internet of Things (IoT)-enabled products like robot vacuum cleaner in India once the market is large enough for consuming such products, a top company executive said on Friday.When it comes to IoT-based products, Xiaomi TVs are quote popular along with smart bulbs, air purifiers, water purifiers and smart bands.Apart from TVs, rest of the IoT products are currently being imported.""Our TVs, smartphones and power banks are locally produced in India. We have 35,000 employees working at our five factories. Similarly, we will start manufacturing our IoT products in India once we are ready and the market is also ready for the same,"" Raghu Reddy, Chief Business Officer, Xiaomi India, told IANS.Xiaomi showcased its Mi Robot Vacuum Mop-P' last month in the India market for Rs 17,999. The company will start shipping the robot vacuum cleaner from September 15, and will offer no-cost EMI for as low as Rs 2,999 per month.It is equipped with 12 different multi-directional sensors and a dedicated Laser Distance Sensor (LDS) navigation system that can scan complex environments accurately and avoid obstacles during the cleaning process - especially at a time when cleaning homes and offices are a huge task in Covid-19 times.""We are looking forward to launch more and more IoT products in India. Our aim is to make things simple for customers and for this, we unveiled 'Mi Robot Vacuum Mop-P'. The main idea behind launching the product during coronavirus pandemic was to encourage social distancing,"" said Reddy.The robot vaccum cleaner was launched on Xiaomi's crowdfunding platform with an aim to sell 10,000 units before bringing it for everyone.",iot
25,"Medical technology firm Siemens Healthineers and the industry body Nasscom on Thursday said they have entered a partnership for collaboratively nurturing innovation in healthcare startups.Siemens Healthineers and Nasscom''s Center of Excellence for IoT & AI (internet of things and artificial intelligence) will work with the Indian startup ecosystem to make healthcare more accessible and affordable, the partners said in a joint statement.Through this partnership, the startup ecosystem in India will benefit from the global experience of the Siemens Healthineers Technology Accelerator in collaborating with businesses that are working on cutting-edge technologies in the areas of imaging, diagnostics and digital health leveraging AI, internet of medical things (IoMT) and robotics, it added.The technology accelerator in India will facilitate collaboration between business lines of Siemens Healthineers and the startups through proof-of-concept or co-creation projects with a potential to result in joint development, commercial partnership or supplier engagement, the statement said.Siemens Healthineers will support the startups in further validating their solutions, providing domain expertise and enabling access to technology building blocks, it added.""A global crisis at this level has led to downturns, however, it has also led to business disruptions and transformations which have opened a plethora of opportunities to tenacious entrepreneurs,"" National Association of Software and Service Companies (Nasscom) President Debjani Ghosh said.Indian startups have continued to prove their resilience by developing solutions that would help society cope with the pandemic on a daily basis, she added.Siemens Healthineers will also be a member of the advisory committee for Nasscom Center of Excellence''s Lifesciences and Healthcare Innovation Forum (LHIF) to provide guidance in driving the innovation agenda in the healthcare industry, the statement said.",industry
26,"While India is one of the largest producers of food crops in the world, a lot of this - 16 per cent to be exact - is wasted every year due to inadequate infrastructure and supply chain management. The cold storages aren't equipped to reduce food wastage even when a large number of India's population goes hungry and the country continues to slip lower in the Global Hunger Index. The need of the hour is some disruptive technology that can address this problem. That is where QZense comes in. Founded by Rubal Chib and Srishti Batra, this Bengaluru-based start-up has developed a device, using machine learning and IoT, to detect the shelf life and ripeness of agricultural produce.The start-up has developed two devices, which use the sense of smell and sight to detect the quality of produce. ""The devices will study their internal composition and biochemical processes to assess the health of fresh food,"" says Rubal. The two devices include a handheld scanner and a data logger. ""The scanner, called QScan, is portable and can be used to grade and sort the fresh produce. For example, it can tell the retailer about the level of sweetness in fruits. The loggers can be installed in cold storages or in the vehicles transporting produce. It has in-built sensors to detect the gases and compounds produced by the fruits and vegetables. It will alert the user when the rate of degradation is increasing so that the food can be distributed sooner,"" adds Rubal.",iot
