source,url,date,title,img,summary,Prediction,Probability,Content
Telecom Lead,https://www.telecomlead.com/broadband/indian-telecommunications-2020-and-beyond-96002,2 hours ago,Indian telecommunications – 2020 and beyond,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","With technology embedded at its foundation, the Indian telecom sector must also focus on driving innovation within the country. From fully ...",telecom,0.5064588236281936,"With technology embedded at its foundation, the Indian telecom sector must also focus on driving innovation within the country. From fully ..."
ETTelecom.com,https://telecom.economictimes.indiatimes.com/news/ril-is-looking-to-lead-indias-4th-industrial-revolution/77010781,8 hours ago,RIL is looking to lead India's 4th Industrial Revolution,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","It said that RIL is best positioned to create tech eco-system in India. ... rules impacting China's presence in India telecom, media and technology (TMT) space.",industry,0.4443078693284887,"It said that RIL is best positioned to create tech eco-system in India. ... rules impacting China's presence in India telecom, media and technology (TMT) space."
TechCrunch,https://techcrunch.com/2020/07/15/google-invests-4-5-billion-in-indias-reliance-jio-platforms/,2 days ago,Google invests $4.5 billion in India’s Reliance Jio Platforms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",“Getting technology into the hands of more people is a big part of ... Jio Platforms that has upended the telecommunications market in India with ...,other,0.32070047968717824,“Getting technology into the hands of more people is a big part of ... Jio Platforms that has upended the telecommunications market in India with ...
ETTelecom.com,https://telecom.economictimes.indiatimes.com/news/reliance-jio-develops-own-5g-solutions-to-be-ready-for-commercial-deployment-soon-mukesh-ambani/76977082,1 day ago,Reliance Jio officially enters 5G space as a technology vendor; aims to export tech to global telcos,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",ET was the first to report on Jio's 5G technology plans on March 10. ...,telecom,0.9906397432673779,"ET was the first to report on Jio's 5G technology plans on March 10. ... If successful, Jio would be a major achievement for India's telecom sector ..."
Catch News,http://www.catchnews.com/india-news/global-skills-index-2020-india-surges-ahead-of-china-in-business-and-technology-skills-195798.html,1 hour ago,Global Skills Index 2020: India surges ahead of China in business and technology skills,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","India has surged ahead of China in business and technology skills due ... technology, media, telecommunications (with a surplus of 1.3 million ...",other,0.39851662905604884,"India has surged ahead of China in business and technology skills due ... technology, media, telecommunications (with a surplus of 1.3 million ..."
ETTelecom.com,https://telecom.economictimes.indiatimes.com/news/tdsat-reserves-order-on-vodafone-ideas-plea-against-trai-order/77010756,8 hours ago,TDSAT reserves order on Vodafone Idea's plea against TRAI order,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Defending its directive, the Telecom Regulatory Authority of India (TRAI) told the tribunal that its action of blocking the plan was a prudent and proportionate ...",telecom,0.926005069899035,"Defending its directive, the Telecom Regulatory Authority of India (TRAI) told the tribunal that its action of blocking the plan was a prudent and proportionate ..."
ETTelecom.com,https://telecom.economictimes.indiatimes.com/news/dot-mulls-data-networks-for-rural-connectivity-bsnl-mtnl-set-to-lose/76997334,7 hours ago,"DoT mulls data networks for rural connectivity, BSNL set to lose","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",NEW DELHI: The Department of Telecommunications (DoT) is ... (4G) technology in state-funded connectivity programs in uncovered ... measures to strengthen national security following the India-China standoff in Ladakh.,industry,0.6536051448217143,NEW DELHI: The Department of Telecommunications (DoT) is ... (4G) technology in state-funded connectivity programs in uncovered ... measures to strengthen national security following the India-China standoff in Ladakh.
ThePrint,https://theprint.in/opinion/the-concert-of-democracies-will-shift-its-no-huawei-focus-to-india/462173/,1 day ago,The concert of democracies will shift its no-Huawei focus to India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","So, UK telecommunications firms are free to buy Huawei equipment for 5G for ... 5G is not a routine technology upgrade; it is a technology that ...",telecom,0.9752759313521726,"So, UK telecommunications firms are free to buy Huawei equipment for 5G for ... 5G is not a routine technology upgrade; it is a technology that ..."
The Sunday Guardian,https://www.sundayguardianlive.com/news/dependence-china-telecom-sector-makes-india-vulnerable,4 weeks ago,Dependence on China in telecom sector makes India vulnerable,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The telecom infrastructure in India is largely based on wireless technologies. 5G technology is thus a very crucial piece of infrastructure where ...,telecom,0.9694344826737656,The telecom infrastructure in India is largely based on wireless technologies. 5G technology is thus a very crucial piece of infrastructure where ...
ETTelecom.com,https://telecom.economictimes.indiatimes.com/news/youtube-brings-back-1080p-streaming-option-in-india/77016797,1 hour ago,YouTube brings back 1080p streaming option in India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","YouTube was not the only streaming platform to restrict or reduce streaming quality as telecom operators had also urged Netflix, Amazon, Hotstar to lower ...",telecom,0.680558805704095,"YouTube was not the only streaming platform to restrict or reduce streaming quality as telecom operators had also urged Netflix, Amazon, Hotstar to lower ..."
Analytics India Magazine,https://analyticsindiamag.com/cbse-integrates-ai-curriculum-in-200-indian-schools-in-collaboration-with-ibm/,5 hours ago,CBSE Integrates AI Curriculum In 200 Indian Schools In ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Offered for Grades XI & XII across 13 states in India, the AI curriculum ... and teachers to leverage emerging technologies including cloud, AI, ...",ai,0.5009896338014967,"Offered for Grades XI & XII across 13 states in India, the AI curriculum ... and teachers to leverage emerging technologies including cloud, AI, ..."
Financial Express,https://www.financialexpress.com/industry/technology/ai-can-make-workplaces-efficient-and-intelligent-dinesh-malkani-ex-president-india-saarc-cisco/2025195/,1 day ago,"AI can make workplaces efficient and intelligent: Dinesh Malkani, ex-president (India, Saarc) Cisco","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Dinesh Malkani, ex-president (India & Saarc) for Cisco, and founder, Smarten ... What would be the role of technology (AI, IoT, ML) in this?",iot,0.8011797012844994,"Dinesh Malkani, ex-president (India & Saarc) for Cisco, and founder, Smarten ... What would be the role of technology (AI, IoT, ML) in this?"
Express Computer,https://www.expresscomputer.in/artificial-intelligence-ai/cbse-collaborates-with-ibm-to-integrate-ai-curriculum-in-200-schools-across-india/60686/,21 hours ago,CBSE Collaborates with IBM To Integrate AI Curriculum in 200 Schools across India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",This same ethos has been carried forward in our 'AI for Better India' ... of educators and economists alike is how will technology impact jobs ...,ai,0.8165798115854898,This same ethos has been carried forward in our 'AI for Better India' ... of educators and economists alike is how will technology impact jobs ...
The Indian Express,https://indianexpress.com/article/technology/tech-news-technology/the-journey-that-organizations-should-embark-on-to-realize-the-true-potential-of-ai-6503417/,4 days ago,The journey that organizations should embark on to realize the true potential of AI,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Implementing Artificial Intelligence (AI) in an organization is a ... make the mistake of treating AI as a 'pure play' technology implementation ... H, Associate Director; and Prashant Kumar, Senior Consultant, Deloitte India.",ai,0.9974514109775082,"Implementing Artificial Intelligence (AI) in an organization is a ... make the mistake of treating AI as a 'pure play' technology implementation ... H, Associate Director; and Prashant Kumar, Senior Consultant, Deloitte India."
ETHealthworld.com,https://health.economictimes.indiatimes.com/news/health-it/evolving-role-of-ai-iomt-and-big-data-analytics-have-redefined-the-shape-of-indian-healthcare-market/77004049,19 hours ago,"Evolving role of AI, IoMT and Big Data analytics have redefined the shape of Indian healthcare market","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","The market forces, growing millennial population and technology adoption has rapidly transformed India's healthcare in the last decade or so. There is a higher ...",industry,0.45410187914113204,"The market forces, growing millennial population and technology adoption has rapidly transformed India's healthcare in the last decade or so. There is a higher ..."
YourStory.com,https://yourstory.com/2020/07/artificial-intelligence-technology-transform-digital-marketing-india,6 days ago,How Artificial Intelligence can transform digital marketing in India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",How Artificial Intelligence can transform digital marketing in India ... to the current AI trend as exploring how to use the technology for your brand ...,ai,0.9802966945674648,How Artificial Intelligence can transform digital marketing in India ... to the current AI trend as exploring how to use the technology for your brand ...
Analytics India Magazine,https://analyticsindiamag.com/top-11-women-ai-leaders-in-india-2020/,1 week ago,Top 11 Women AI Leaders In India — 2020,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","A research scientist at Tech Mahindra, Amarjeet has more than ten years of research and teaching experience with excellent academic ...",other,0.3329688867175672,"A research scientist at Tech Mahindra, Amarjeet has more than ten years of research and teaching experience with excellent academic ..."
The Times of India Blog,https://timesofindia.indiatimes.com/blogs/toi-edit-page/defending-indias-tech-sovereignty-banning-chinese-apps-was-a-start-now-set-up-missions-on-ai-solar-battery-and-consumer-electronics/,2 weeks ago,"Defending India’s tech sovereignty: Banning Chinese apps was a start. Now set up missions on AI, solar-batte","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Defending India's tech sovereignty: Banning Chinese apps was a start. Now set up missions on AI, solar-battery and consumer electronics.",cc,0.6564445385625994,"Defending India's tech sovereignty: Banning Chinese apps was a start. Now set up missions on AI, solar-battery and consumer electronics."
Analytics India Magazine,https://analyticsindiamag.com/11-startups-in-india-using-ai-and-robotics-to-fight-covid-19/,1 week ago,11 Startups In India Using AI And Robotics To Fight Covid-19,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... globe are now leveraging technologies such as artificial intelligence, computer vision, robotics and more to battle its containment. In India too ...",ai,0.8564235745152265,"... globe are now leveraging technologies such as artificial intelligence, computer vision, robotics and more to battle its containment. In India too ..."
The Hindu,https://www.thehindu.com/news/national/pm-modi-google-ceo-sundar-pichai-discuss-data-security-use-of-ai-in-agriculture/article32069157.ece,3 days ago,"PM Modi, Google CEO Sundar Pichai discuss data security, use of AI in agriculture","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","PM Modi, Google CEO Sundar Pichai discuss data security, use of AI in ... of technology to transform the lives of India's farmers, youngsters and ...",ai,0.620391185016273,"PM Modi, Google CEO Sundar Pichai discuss data security, use of AI in ... of technology to transform the lives of India's farmers, youngsters and ..."
Business Standard,https://www.business-standard.com/article/economy-policy/google-tax-row-us-technology-companies-want-action-against-india-120071700053_1.html,10 hours ago,Google tax row: US technology companies want action against India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Google tax row: US technology companies want action against India. IBM, US Chamber of Commerce oppose retaliatory tariffs.",other,0.2894247947070512,"Google tax row: US technology companies want action against India. IBM, US Chamber of Commerce oppose retaliatory tariffs. Topics digital tax | ..."
Business Insider India,https://www.businessinsider.in/thelife/personalities/news/hcl-techs-new-chairman-roshni-nadar-is-the-richest-woman-in-india-with-a-net-worth-of-36800-crore/slidelist/77015257.cms,3 hours ago,"HCL Tech’s new chairman Roshni Nadar is the richest woman in India with a net worth of ₹36,800 crore","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Roshni Nadar is India's richest woman with a net worth of ₹36,800 crore ... “I am not interested in the technology business, at least not in getting ...",other,0.32799790030690934,"Roshni Nadar is India's richest woman with a net worth of ₹36,800 crore ... “I am not interested in the technology business, at least not in getting ..."
Hindustan Times,https://www.hindustantimes.com/business-news/india-united-states-likely-to-partner-on-5g-us-india-business-council-chief/story-qR5roUInLTxsgSMuEpmxRL.html,7 hours ago,"India, United States likely to partner on 5G: US-India Business Council chief","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","In an interview to ANI, US-India Business Council president Nisha Biswal said expects that digital commerce and all areas of the technology ...",other,0.3652726047055096,"In an interview to ANI, US-India Business Council president Nisha Biswal said expects that digital commerce and all areas of the technology ..."
Moneycontrol.com,https://www.moneycontrol.com/news/business/india-pips-china-in-business-technology-skills-but-lags-in-data-science-says-coursera-5556811.html,21 hours ago,"India pips China in business, technology skills but lags in data science, says Coursera","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",India lags in skills in the data science domain but is an emerging player in the business and technology skills. Data from the Global Skills Index ...,other,0.390961335736007,India lags in skills in the data science domain but is an emerging player in the business and technology skills. Data from the Global Skills Index ...
ANI News,https://www.aninews.in/news/business/india-surges-ahead-of-china-in-business-and-technology-skills-coursera20200717134614,2 hours ago,India surges ahead of China in business and technology skills: Coursera,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Within the technology domain, India ranks 40the globally whereas China ranks 50th. Looking across the 65 million learners on the platform and ...",other,0.38792266568440875,"Within the technology domain, India ranks 40the globally whereas China ranks 50th. Looking across the 65 million learners on the platform and ..."
BBC News,https://www.bbc.com/news/business-53426791,1 day ago,Ambani: Google latest US tech giant to invest in India's Jio,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Google has become the latest US technology giant to invest in Indian conglomerate Reliance Industries' digital business. The Alphabet-owned ...,other,0.31444161398003945,Google has become the latest US technology giant to invest in Indian conglomerate Reliance Industries' digital business. The Alphabet-owned ...
Livemint,https://www.livemint.com/news/india/apple-iphone-maker-joins-wave-of-tech-investment-in-india-11594966818309.html,4 hours ago,Apple iPhone maker joins wave of tech investment in India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... assembler and depends on Apple for more than half of its business. ... Ravi Shankar Prasad, India's minister for information technology and ...",industry,0.49730413415284375,"... assembler and depends on Apple for more than half of its business. ... Ravi Shankar Prasad, India's minister for information technology and ..."
Livemint,https://www.livemint.com/companies/news/cognizant-india-begins-hunt-for-a-new-cmd-11594944953181.html,10 hours ago,Cognizant India begins hunt for a new CMD,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",BENGALURU : Cognizant Technology Solutions Corp. is scouting for a new ... understanding of the India business and emerging technologies.,industry,0.5384521440573422,BENGALURU : Cognizant Technology Solutions Corp. is scouting for a new ... understanding of the India business and emerging technologies.
Economic Times,https://economictimes.indiatimes.com/news/economy/indicators/india-lags-in-data-science-skills-fares-better-on-business-and-technology-skills/articleshow/77001778.cms,21 hours ago,"India lags in data science skills, fares better on business and ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","India ranks in the emerging or lagging categories across key skill domains including Business (#8/16 in APAC and #34/60 globally), Technology ...",other,0.2621046452323062,"India ranks in the emerging or lagging categories across key skill domains including Business (#8/16 in APAC and #34/60 globally), Technology ..."
India Today,https://www.indiatoday.in/technology/news/story/exclusive-uc-browser-decides-to-close-india-operations-employees-set-to-lose-jobs-1701181-2020-07-16,1 day ago,"Exclusive: UC Browser decides to close India operations, employees set to lose jobs","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","UC Web, the company behind popular UC Browser, is shutting down India operations, India Today Tech learns. The company told its ...",industry,0.40534886784419655,"UC Web, the company behind popular UC Browser, is shutting down India operations, India Today Tech learns. The company told its ..."
ETTelecom.com,https://telecom.economictimes.indiatimes.com/news/india-may-attract-investments-from-global-semiconductor-players-us-memory-chip-maker-micron/76954360,3 days ago,India may attract investments from global semiconductor players: US’ memory chip maker Micron,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",US-based memory chip manufacturer Micron Technology said that “India is on a good path” to attract assembly and packaging type of investments from the global ...,industry,0.49477849300359783,US-based memory chip manufacturer Micron Technology said that “India is on a good path” to attract assembly and packaging type of investments from the global ...
ThePrint,https://theprint.in/opinion/the-concert-of-democracies-will-shift-its-no-huawei-focus-to-india/462173/,1 day ago,The concert of democracies will shift its no-Huawei focus to India,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... Department of Commerce, which restricted Huawei's ability to use US technology and software to design and manufacture its semiconductors ...",industry,0.7837657194705513,"... Department of Commerce, which restricted Huawei's ability to use US technology and software to design and manufacture its semiconductors ..."
,https://3wnews.org/uncategorised/2771664/global-covid-19-impact-on-semiconductor-processing-equipment-market-which-technology-is-expected-to-trend-higher/,18 hours ago,Global Covid-19 impact on Semiconductor Processing Equipment Market : Which technology is expected to trend higher?,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... on Semiconductor Processing Equipment Market : Which technology is ... Europe, Japan, China and other countries (India, Southeast Asia, ...",other,0.38676449962230347,"... on Semiconductor Processing Equipment Market : Which technology is ... Europe, Japan, China and other countries (India, Southeast Asia, ..."
Swarajya,https://swarajyamag.com/ideas/how-india-can-make-its-semiconductor-chips-at-home-eliminating-the-need-for-ones-produced-in-china,1 month ago,"How India Can Make Its Semiconductor Chips At Home, Eliminating The Need For Ones Produced In China","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","How India Can Make Its Semiconductor Chips At Home, Eliminating The ... and while you are at it, check also which technology nodes the fabs ...",other,0.3919816715531127,"How India Can Make Its Semiconductor Chips At Home, Eliminating The ... and while you are at it, check also which technology nodes the fabs ..."
Cole of Duty,https://coleofduty.com/news/2020/07/17/semiconductor-inspection-systems-market-technology-advancement-and-future-scope-till-2025/,5 hours ago,Semiconductor Inspection Systems Market Technology ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Semiconductor Inspection Systems Market Technology ... namely: United States, China, Europe, Japan, South-east Asia, India and others.",industry,0.5993453879005258,"Semiconductor Inspection Systems Market Technology ... namely: United States, China, Europe, Japan, South-east Asia, India and others."
Swarajya,https://swarajyamag.com/economy/fabinindia-why-creating-demand-for-chips-is-key-to-boosting-semiconductor-manufacturing,2 weeks ago,#FabInIndia: Why Creating Demand For Chips Is Key To Boosting Semiconductor Manufacturing,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",... Demand For Chips Is Key To Boosting Semiconductor Manufacturing ... explained why India need not go for cutting edge <28nm technology ...,cc,0.4569326678562432,... Demand For Chips Is Key To Boosting Semiconductor Manufacturing ... explained why India need not go for cutting edge <28nm technology ...
,https://3wnews.org/news/2804290/semiconductor-advanced-packaging-sales-market-2019-precise-outlook-advanced-semiconductor-engineering-amkor-technology-samsung-semiconductor-tsmc-china-wafer-level-csp-chipmos-technologies-fli/,4 mins ago,"Semiconductor Advanced Packaging Sales Market 2019 Precise Outlook – Advanced Semiconductor Engineering, Amkor Technology, Samsung Semiconductor, TSMC, China Wafer Level CSP, ChipMOS TECHNOLOGIES, FlipChip International","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... Amkor Technology, Samsung Semiconductor, TSMC, China Wafer Level ... States, China, Europe, Japan, South-east Asia, India and others.",industry,0.5271755793794763,"... Amkor Technology, Samsung Semiconductor, TSMC, China Wafer Level ... States, China, Europe, Japan, South-east Asia, India and others."
Cole of Duty,https://coleofduty.com/technology/2020/07/17/india-manufacturing-erp-market-2019-2027-latest-updates-with-top-companies-applications-and-types/,4 hours ago,India Manufacturing ERP Market 2019-2027| Latest Updates ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","... semiconductor, software, media and communications. The India Manufacturing ERP market is growing along with the Technology, Media and ...",industry,0.6195569250650391,"... semiconductor, software, media and communications. The India Manufacturing ERP market is growing along with the Technology, Media and ..."
3rd Watch News,https://3wnews.org/uncategorised/2653553/covid-19-update-global-power-semiconductor-switches-market-is-expected-to-grow-at-a-healthy-cagr-with-top-players-mitsubishi-electric-corporation-fairchild-semiconductor-international-infineon-tech/,24 mins ago,COVID-19 Update: Global Power Semiconductor Switches ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","COVID-19 Update: Global Power Semiconductor Switches Market is Expected to ... Fairchild Semiconductor International, Infineon Technologies AG, ... Japan, Philippines, Korea, Thailand, India, Indonesia, and Australia).",other,0.3886986608413657,"COVID-19 Update: Global Power Semiconductor Switches Market is Expected to ... Fairchild Semiconductor International, Infineon Technologies AG, ... Japan, Philippines, Korea, Thailand, India, Indonesia, and Australia)."
